Var1,state,Freq,rate
CA,california,49631,8.280527888
TX,texas,44166,7.368737174
NY,new york,37929,6.328144552
FL,florida,35039,5.845971604
PA,pennsylvania,29596,4.937851411
OH,ohio,24636,4.110315832
MI,michigan,21946,3.661511253
NC,north carolina,21645,3.611291856
IL,illinois,19870,3.315147572
GA,georgia,19431,3.241903999
VA,virginia,16545,2.760398418
NJ,new jersey,15675,2.615246008
TN,tennessee,14483,2.416370522
IN,indiana,13814,2.304753324
AL,alabama,12874,2.147921985
KY,kentucky,12868,2.146920934
MO,missouri,11973,1.997597477
MD,maryland,11759,1.961893321
MA,massachusetts,11274,1.880975024
AZ,arizona,10670,1.780202546
SC,south carolina,10660,1.778534128
MN,minnesota,10605,1.769357826
WA,washington,10260,1.711797387
CO,colorado,9463,1.578824432
IA,iowa,9150,1.526602933
WI,wisconsin,9087,1.516091896
LA,louisiana,8801,1.468375127
OK,oklahoma,7427,1.239134424
MS,mississippi,7372,1.229958123
AR,arkansas,7337,1.224118658
KS,kansas,6684,1.115170929
CT,connecticut,6504,1.085139396
WV,west virginia,6058,1.010727931
OR,oregon,6017,1.003887415
NE,nebraska,4771,0.796002469
NV,nevada,4561,0.760965681
UT,utah,3958,0.660360045
NM,new mexico,3700,0.617314847
ME,maine,3674,0.612976959
ID,idaho,3522,0.587616998
NH,new hampshire,2890,0.482172948
MT,montana,2767,0.461651401
PR,,2587,0.431619868
SD,south dakota,2418,0.403423595
RI,rhode island,2139,0.356874718
HI,hawaii,1993,0.332515808
WY,wyoming,1940,0.32367319
VT,vermont,1709,0.285132723
ND,north dakota,1574,0.262609073
DE,delaware,1411,0.235413851
DC,district of columnbia,1407,0.234746484
AK,alaska,844,0.140814522
GU,guam,104,0.017351552
VI,virgin islands,84,0.014014715
MP,northern mariana islands,58,0.009676827
PW,palau,10,0.001668419
